aliquot	obs_cluster_pos	obs_n_muts	new_cluster_pos	new_n_muts
0009b464-b376-4fbc-8a56-da538269a02f	0.443344283507	6859	0.425	7864
0009b464-b376-4fbc-8a56-da538269a02f	0.983075153819	8609	0.983	8678
003819bc-c415-4e76-887c-931d60ed39e7	0.286927163168	59	0.252	77
003819bc-c415-4e76-887c-931d60ed39e7	1.0	44	1.0	44
0040b1b6-b07a-4b6e-90ef-133523eaf412	0.375444491883	3276	0.334	5193
0040b1b6-b07a-4b6e-90ef-133523eaf412	1.0	11680	0.999	12268
00493087-9d9d-40ca-86d5-936f1b951c93	0.298347122103	808	0.258	1124
00493087-9d9d-40ca-86d5-936f1b951c93	1.0	1718	1.0	1719
00508f2b-36bf-44fc-b66b-97e1f3e40bfa	0.162930741087	452	0.105	1281
00508f2b-36bf-44fc-b66b-97e1f3e40bfa	0.551455664726	502	0.551	507
00508f2b-36bf-44fc-b66b-97e1f3e40bfa	1.0	1216	1.0	1216
005794f1-5a87-45b5-9811-83ddf6924568	0.289988972384	790	0.233	1310
005794f1-5a87-45b5-9811-83ddf6924568	1.0	4403	1.0	4419
005e85a3-3571-462d-8dc9-2babfc7ace21	0.502405129942	797	0.438	1089
005e85a3-3571-462d-8dc9-2babfc7ace21	1.0	520	0.995	529
007aab66-2f07-459d-8952-3041d6ea24a8	0.299174140309	214	0.221	386
007aab66-2f07-459d-8952-3041d6ea24a8	1.0	535	1.0	535
008aef39-0c97-48ce-9dfd-f12d67116c59	0.198040226328	475	0.091	3071
008aef39-0c97-48ce-9dfd-f12d67116c59	0.908891380284	1423	0.911	1426
008aef39-0c97-48ce-9dfd-f12d67116c59	1.0	1355	1.0	1356
008bad10-d41b-4bbb-86fa-9976ecea46b1	0.560912734686	1216	0.51	1467
008bad10-d41b-4bbb-86fa-9976ecea46b1	1.0	1171	0.998	1185
00aa769d-622c-433e-8a8a-63fb5c41ea42	0.331707154133	28504	0.216	72720
00aa769d-622c-433e-8a8a-63fb5c41ea42	0.488596085522	43501	0.445	53110
00aa769d-622c-433e-8a8a-63fb5c41ea42	1.0	162252	1.0	163293
00b9d0e6-69dc-4345-bffd-ce32880c8eef	0.356465452356	484	0.339	538
00b9d0e6-69dc-4345-bffd-ce32880c8eef	1.0	3439	1.0	3439
00bf0350-8c7c-4b9e-8143-13ea2dc1122f	0.562780829124	2546	0.476	3629
00bf0350-8c7c-4b9e-8143-13ea2dc1122f	1.0	2765	1.0	2833
00c27940-c623-11e3-bf01-24c6515278c0	0.320633561644	2113	0.258	3924
00c27940-c623-11e3-bf01-24c6515278c0	1.0	14518	1.0	14834
00db1b95-8ca3-4cc4-bb46-6b8c8019a7c7	1.0	9461	1.0	9607
00db4dc2-3ec7-4ff9-9233-d69c8c8a607f	0.293561921437	1979	0.207	5298
00db4dc2-3ec7-4ff9-9233-d69c8c8a607f	0.668354810876	1930	0.656	2128
00db4dc2-3ec7-4ff9-9233-d69c8c8a607f	1.0	3408	0.999	3495
